make,model,variant,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Tata,Indica V2,Turbo DLX,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata,Indica V2,Turbo DLX - ABS & Airbags,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata,Indica V2,Turbomax DLE BS-IV,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata,Indica V2,Turbomax DLS BS-IV,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata,Indica V2,Xeta eGL BS-IV,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata,Indica V2,Xeta eGLE BS-IV,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata,Indica V2,Xeta eGLE(LPG) BS-IV,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata,Indica V2,Xeta eGLS BS-IV,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata,Indica V2,Xeta eGLS(LPG) BS-IV,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata,Indica V2,Xeta eGLX BS-IV,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata,Indica V2,Xeta GL BS-III,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata,Indica V2,Xeta GL BS-IV,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata,Indica V2,Xeta GL1.2 BS-III,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata,Indica V2,Xeta GLE 1.2 BS-III,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata,Indica V2,Xeta GLE 1.2 LPG,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata,Indica V2,Xeta GLE BS-III,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata,Indica V2,Xeta GLE BS-IV,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata,Indica V2,Xeta GLE(LPG) BS-IV,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata,Indica V2,Xeta GLG 1.2 BS-III,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata,Indica V2,Xeta GLG BS-III,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata,Indica V2,Xeta GLS 1.2 BS-III,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata,Indica V2,Xeta GLS 1.2 LPG,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata,Indica V2,Xeta GLS BS-III,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata,Indica V2,Xeta GLS BS-IV,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata,Indica V2,Xeta GLS(LPG) BS-IV,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata,Indica V2,Xeta GLX BS-III,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata,Indica V2,Xeta GV BS-III,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata,Indica V2,Xeta GVE BS-III,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata,Indica V2,Xeta GVG BS-III,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata,Indica V2,Xeta GVS BS-III,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata,Indica V2,DLE BSIII,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata,Indica V2,DLS BS III,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata,Indica V2,DLS BSIII,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata,Indica V2,L,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata,Indica V2,LE,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata,Indica V2,LE BS III,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata,Indica V2,LE BSIII,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata,Indica V2,LS,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata,Indica V2,Turbomax DLE BS IV,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata,Indica V2,Turbomax DLS BS IV,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata,Indica V2 Xeta,GL1.2 BS III,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata,Indica V2 Xeta,GLE 1.2 BS III,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata,Indica V2 Xeta,GLE 1.2 LPG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata,Indica V2 Xeta,GLS 1.2 BS III,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata,Indica V2 Xeta,GLS 1.2 LPG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
